Номер заказа,Дата оформления,Дата проведения,Дата списания,Тип,Сумма €,Сумма в валюте заказа,Депозит магазина €,Итем,Причина
5642,"March 27, 2026","March 30, 2026","April 2, 2026",Отмена,"445,87",,,ONE-PIECE JUMPSUIT #007,Не подходят сроки
5667,"March 30, 2026","April 3, 2026","April 8, 2026",Отмена,"781,81",,,"
JUMPSUIT #03",Заказан по ошибке
5667,"March 30, 2026","April 3, 2026","April 8, 2026",Отмена,,,,"
JUMPSUIT #01",Заказан по ошибке
5610,"March 22, 2026","March 28, 2026","March 31, 2026",Чарджбек,"1297,69",,,,Чарджбек
5622,"March 24, 2026","April 7, 2026",,Отмена,,477.63,,DOUBLE LAYER SET OFF-WHITE | BLACK,Не подходят сроки
4986,"January 15, 2026","April 8, 2026","April 8, 2026",Возврат,,,"561,95",ONE-PIECE JUMPSUIT #007,Посадка по фигуре
5455,"March 7, 2026","March 7, 2026",,Возврат,,276.00,,DOUBLE LAYER SET AQUA | BLACK,Качество ткани
5368,"February 28, 2026","April 8, 2026",,Возврат,,193.33,,FLUX NOIR T-SHIRT,Посадка по фигуре
5359,"February 27, 2026",,,Обмен,,,,JUMPSUIT #02,Размер
5178,"February 5, 2026","April 8, 2026",,Возврат,,"1,056.00",,WOMEN'S VEGAN HARNESS VEST,Посадка по фигуре
5178,"February 5, 2026","April 8, 2026",,Возврат,,,,ALLURE BLANC BODYSUIT,Посадка по фигуре
5178,"February 5, 2026","April 8, 2026",,Возврат,,,,BLACK GELSO CROPPED 2-IN-1 SHIRT & TOP,Посадка по фигуре
5055,"January 24, 2026 ","April 8, 2026",,Возврат,,"1,782",,CALME CREAMY JOGGERS ,Посадка по фигуре
5055,"January 24, 2026 ","April 8, 2026",,Возврат,,,,CALME CREAMY JOGGERS,Посадка по фигуре
5055,"January 24, 2026 ","April 8, 2026",,Возврат,,,,CALME CREAMY FULL-ZIP,Посадка по фигуре
5055,"January 24, 2026 ","April 8, 2026",,Возврат,,,,CALME CREAMY FULL-ZIP ,Посадка по фигуре
5055,"January 24, 2026 ","April 8, 2026",,Возврат,,,,CALME CREAMY JOGGERS ,Посадка по фигуре
5055,"January 24, 2026 ","April 8, 2026",,Возврат,,,,CALME CREAMY FULL-ZIP,Посадка по фигуре
5239,"February 10, 2026","April 8, 2026",,Возврат,,279.18 ,,DOUBLE LAYER SET OFF-WHITE | BLACK,Посадка по фигуре
5253,"February 12, 2026","April 8, 2026",,Возврат,,"1,087.00 PLN",,FLUX NOIR STIRRUP TIGHTS,Размер (обмен заказан отдельно)
5176,"February 5, 2026","April 8, 2026",,Возврат,,594,,CALME CREAMY JOGGERS,Ткань
5176,"February 5, 2026","April 8, 2026",,Возврат,,,,CALME CREAMY HALF-ZIP,Ткань
5389,"March 1, 2026","April 8, 2026",,Возврат,,511.50,,ONE-PIECE JUMPSUIT #007,Посадка по фигуре